0,50,3.046619,9.99999323e-06
0,100,3.469976,9.99997293e-06
0,150,3.165684,9.99993909e-06
0,200,3.115544,9.99989172e-06
0,250,2.999231,9.99983081e-06
0,300,2.895562,9.99975637e-06
0,350,2.973436,9.99966839e-06
0,400,2.972070,9.99956688e-06
0,450,3.015679,9.99945184e-06
0,500,3.363428,9.99932326e-06
0,550,2.936336,9.99918115e-06
0,600,3.105850,9.99902550e-06
0,650,2.853806,9.99885632e-06
0,700,3.132508,9.99867362e-06
0,750,2.985253,9.99847738e-06
0,800,2.218632,9.99826761e-06
0,850,3.026541,9.99804431e-06
0,900,2.925627,9.99780748e-06
0,950,2.471697,9.99755712e-06
0,1000,3.203255,9.99729323e-06
0,1050,2.919894,9.99701582e-06
0,1100,2.768470,9.99672488e-06
0,1150,2.879399,9.99642042e-06
0,1200,3.179841,9.99610243e-06
0,1250,2.969943,9.99577092e-06
0,1300,2.857170,9.99542588e-06
0,1350,3.381561,9.99506732e-06
0,1400,3.035329,9.99469525e-06
0,1450,3.166680,9.99430965e-06
0,1500,3.130949,9.99391054e-06
0,1550,3.343041,9.99349791e-06
0,1600,2.859137,9.99307176e-06
0,1650,2.799849,9.99263210e-06
0,1700,2.443074,9.99217893e-06
0,1750,2.811228,9.99171224e-06
0,1800,2.933347,9.99123205e-06
0,1850,2.702611,9.99073834e-06
0,1900,2.594254,9.99023113e-06
0,1950,3.119194,9.98971041e-06
0,2000,2.851486,9.98917619e-06
0,2050,2.871718,9.98862847e-06
0,2100,3.026088,9.98806724e-06
0,2150,2.643880,9.98749252e-06
0,2200,2.709933,9.98690429e-06
0,2250,2.928763,9.98630257e-06
0,2300,2.636544,9.98568736e-06
0,2350,2.981827,9.98505866e-06
0,2400,2.775679,9.98441646e-06
0,2450,2.737515,9.98376078e-06
0,2500,2.907473,9.98309161e-06
0,2550,2.837285,9.98240896e-06
0,2600,3.121899,9.98171282e-06
0,2650,2.794533,9.98100321e-06
0,2700,2.530980,9.98028011e-06
0,2750,3.020047,9.97954354e-06
0,2800,2.764365,9.97879350e-06
0,2850,3.354173,9.97802998e-06
0,2900,3.005973,9.97725300e-06
0,2950,2.933178,9.97646255e-06
0,3000,2.815603,9.97565863e-06
0,3050,2.898781,9.97484126e-06
0,3100,2.876672,9.97401042e-06
0,3150,2.653829,9.97316613e-06
0,3200,2.788103,9.97230838e-06
0,3250,2.792218,9.97143718e-06
0,3300,2.975289,9.97055253e-06
0,3350,2.763605,9.96965443e-06
0,3400,2.840216,9.96874289e-06
0,3450,3.084483,9.96781791e-06
0,3500,3.022395,9.96687949e-06
0,3550,2.292366,9.96592764e-06
0,3600,2.574959,9.96496235e-06
0,3650,2.806455,9.96398363e-06
0,3700,2.719749,9.96299149e-06
0,3750,2.636256,9.96198592e-06
0,3800,2.547122,9.96096693e-06
0,3850,2.854645,9.95993452e-06
0,3900,2.373340,9.95888870e-06
0,3950,3.191993,9.95782947e-06
0,4000,2.873537,9.95675683e-06
0,4050,2.975292,9.95567078e-06
0,4100,2.983186,9.95457133e-06
0,4150,2.989167,9.95345849e-06
0,4200,2.730425,9.95233224e-06
0,4250,3.175564,9.95119261e-06
0,4300,2.907290,9.95003959e-06
0,4350,3.008971,9.94887318e-06
0,4400,2.642439,9.94769339e-06
0,4450,2.335189,9.94650023e-06
0,4500,2.754202,9.94529369e-06
0,4550,2.483336,9.94407377e-06
0,4600,2.258368,9.94284050e-06
0,4650,2.936128,9.94159385e-06
0,4700,3.037470,9.94033385e-06
0,4750,2.917006,9.93906050e-06
0,4800,3.040395,9.93777379e-06
0,4850,2.561028,9.93647373e-06
0,4900,2.575587,9.93516033e-06
0,4950,3.067103,9.93383359e-06
0,5000,2.864945,9.93249351e-06
0,5050,2.680490,9.93114010e-06
0,5100,3.331404,9.92977336e-06
0,5150,2.557051,9.92839330e-06
0,5200,3.264585,9.92699992e-06
0,5250,2.533840,9.92559323e-06
0,5300,2.554820,9.92417322e-06
0,5350,2.834950,9.92273990e-06
0,5400,3.005829,9.92129328e-06
0,5450,2.872441,9.91983337e-06
0,5500,3.388448,9.91836016e-06
0,5550,2.565828,9.91687366e-06
0,5600,2.683407,9.91537387e-06
0,5650,3.030839,9.91386081e-06
0,5700,2.820294,9.91233446e-06
0,5750,2.790623,9.91079485e-06
0,5800,3.026877,9.90924197e-06
0,5850,2.992544,9.90767583e-06
0,5900,2.651340,9.90609643e-06
0,5950,3.011370,9.90450377e-06
0,6000,3.040953,9.90289787e-06
0,6050,3.015663,9.90127873e-06
0,6100,2.761317,9.89964635e-06
0,6150,2.617504,9.89800073e-06
0,6200,3.298967,9.89634189e-06
0,6250,2.669805,9.89466982e-06
0,6300,2.759440,9.89298453e-06
0,6350,2.625582,9.89128603e-06
0,6400,2.552850,9.88957433e-06
0,6450,2.753197,9.88784942e-06
0,6500,2.786305,9.88611131e-06
0,6550,2.499873,9.88436001e-06
0,6600,2.899793,9.88259552e-06
0,6650,2.809234,9.88081785e-06
0,6700,2.591566,9.87902700e-06
0,6750,2.863086,9.87722298e-06
0,6800,2.971539,9.87540580e-06
0,6850,2.973857,9.87357546e-06
0,6900,2.507795,9.87173196e-06
0,6950,2.330732,9.86987531e-06
0,7000,2.255217,9.86800551e-06
0,7050,2.905383,9.86612258e-06
